Timestamp,Platform,Product,User,Category,Rating,Review,Sentiment,SentimentScore,Summary,Keywords
2025-04-30 23:44:20.021343,Flipkart,T-Shirt,user_173,Kidswear,5,Good for casual wear.,Positive,0.5719,Good for casual wear.,"Good, wear, casual"
2025-05-17 03:44:20.021343,Myntra,T-Shirt,user_35,Men's Casual,2,Loose threads everywhere.,Negative,-0.3182,Loose threads everywhere.,"Loose, threads"
2025-05-26 11:44:20.021343,Flipkart,Jeans,user_50,Footwear,3,Packaging was neat and elegant.,Positive,0.7269,Packaging was neat and elegant.,"Packaging, elegant, neat"
2025-05-10 10:44:20.021343,AJIO,Sneakers,user_282,Kidswear,2,Horrible experience with delivery.,Negative,-0.5423,Horrible experience with delivery.,"Horrible, delivery, experience"
2025-05-05 13:44:20.021343,Amazon India,Handbag,user_24,Footwear,1,Washed it once and it shrank.,Neutral,0.0,Washed it once and it shrank.,"Washed, shrank"
2025-05-06 21:44:20.021343,Myntra,Hat,user_6,Kidswear,2,"Eco-friendly packaging, well done!",Positive,0.3382,"Eco-friendly packaging, well done!","Eco-friendly, packaging"
2025-05-22 14:44:20.021343,Flipkart,Jeans,user_353,Kidswear,3,Pattern is modern and attractive.,Positive,0.4404,Pattern is modern and attractive.,"Pattern, attractive, modern"
2025-05-23 15:44:20.021343,Flipkart,Hat,user_324,Men's Casual,4,Arrived two days late.,Neutral,0.0,Arrived two days late.,"Arrived, late, days"
2025-05-23 23:44:20.021343,Amazon India,Sneakers,user_304,Footwear,3,Amazing fit and comfortable all day.,Positive,0.8625,Amazing fit and comfortable all day.,"Amazing, day, fit, comfortable"
2025-05-17 09:44:20.021343,Amazon India,Jeans,user_188,Kidswear,2,Threads coming out of seams.,Neutral,0.0,Threads coming out of seams.,"Threads, seams, coming"
2025-05-10 06:44:20.021343,Myntra,Handbag,user_281,Footwear,3,Came in wrong color.,Negative,-0.4767,Came in wrong color.,"color, wrong"
2025-05-25 19:44:20.021343,Flipkart,Dress,user_333,Accessories,3,Uncomfortable and stiff fabric.,Negative,-0.3818,Uncomfortable and stiff fabric.,"Uncomfortable, fabric, stiff"
2025-05-23 00:44:20.021343,Myntra,Sunglasses,user_277,Kidswear,2,Threads came out after one wear.,Neutral,0.0,Threads came out after one wear.,"Threads, wear"
2025-05-12 17:44:20.021343,Amazon India,Sneakers,user_487,Women's Ethnic,5,Looks great but not comfortable.,Negative,-0.2507,Looks great but not comfortable.,"comfortable, great"
2025-05-03 21:44:20.021343,AJIO,Watch,user_310,Women's Ethnic,1,Fabric tore within two wears.,Neutral,0.0,Fabric tore within two wears.,"Fabric, wears, tore"
2025-05-14 13:44:20.021343,Myntra,Hat,user_254,Footwear,2,Material has a weird smell.,Negative,-0.1779,Material has a weird smell.,"Material, smell, weird"
2025-05-16 01:44:20.021343,AJIO,T-Shirt,user_107,Men's Casual,5,"Fast shipping, will buy again.",Neutral,0.0,"Fast shipping, will buy again.","Fast, shipping, buy"
2025-04-29 14:44:20.021343,Flipkart,Watch,user_169,Men's Casual,2,Trendy color and awesome comfort.,Positive,0.765,Trendy color and awesome comfort.,"Trendy, comfort, color, awesome"
2025-05-11 16:44:20.021343,Amazon India,Wallet,user_391,Men's Casual,3,Excellent customer service experience.,Positive,0.5719,Excellent customer service experience.,"Excellent, experience, customer, service"
2025-05-15 23:44:20.021343,AJIO,T-Shirt,user_39,Kidswear,4,Durability is questionable after a week.,Negative,-0.296,Durability is questionable after a week.,"Durability, week, questionable"
2025-05-07 00:44:20.021343,Flipkart,Hat,user_149,Accessories,4,Wrong item sent.,Negative,-0.4767,Wrong item sent.,"Wrong, item"
2025-05-16 04:44:20.021343,Flipkart,Jeans,user_187,Kidswear,2,Material catches lint easily.,Positive,0.34,Material catches lint easily.,"Material, easily, catches, lint"
2025-05-11 07:44:20.021343,Amazon India,Sneakers,user_498,Men's Casual,2,Too tight around the shoulders.,Neutral,0.0,Too tight around the shoulders.,"shoulders, tight"
2025-05-08 22:44:20.021343,AJIO,Wallet,user_81,Men's Casual,1,Perfect summer outfit.,Positive,0.5719,Perfect summer outfit.,"Perfect, outfit, summer"
2025-05-12 00:44:20.021343,Myntra,Sunglasses,user_395,Accessories,1,"Wrong size sent, very disappointed.",Negative,-0.7574,"Wrong size sent, very disappointed.","Wrong, disappointed, size"
2025-05-22 09:44:20.021343,Amazon India,Sneakers,user_390,Footwear,5,"Received used item, very unhappy.",Negative,-0.4754,"Received used item, very unhappy.","Received, item, unhappy"
2025-05-11 12:44:20.021343,Amazon India,Dress,user_36,Accessories,5,Fit is weird around the waist.,Positive,0.2023,Fit is weird around the waist.,"Fit, waist, weird"
2025-05-22 19:44:20.021343,Amazon India,Hat,user_24,Accessories,1,Looks better than expected.,Positive,0.4404,Looks better than expected.,expected
2025-05-05 07:44:20.021343,AJIO,Wallet,user_344,Kidswear,1,Size is too inconsistent.,Neutral,0.0,Size is too inconsistent.,"Size, inconsistent"
2025-04-29 01:44:20.021343,Myntra,Jeans,user_32,Footwear,3,Matches product description perfectly.,Positive,0.6369,Matches product description perfectly.,"Matches, perfectly, product, description"
2025-04-28 18:44:20.021343,AJIO,T-Shirt,user_196,Kidswear,3,Box was torn on arrival.,Negative,-0.25,Box was torn on arrival.,"Box, arrival, torn"
2025-05-16 06:44:20.021343,Myntra,Hat,user_80,Accessories,4,Not worth the money.,Negative,-0.1695,Not worth the money.,"money, worth"
2025-05-27 02:44:20.021343,Flipkart,Sneakers,user_313,Kidswear,3,Too expensive for what it offers.,Neutral,0.0,Too expensive for what it offers.,"offers, expensive"
2025-05-11 21:44:20.021343,AJIO,Wallet,user_458,Kidswear,2,Fabric tore within two wears.,Neutral,0.0,Fabric tore within two wears.,"Fabric, wears, tore"
2025-05-09 05:44:20.021343,Amazon India,Jacket,user_277,Kidswear,2,Pattern is modern and attractive.,Positive,0.4404,Pattern is modern and attractive.,"Pattern, attractive, modern"
2025-05-14 02:44:20.021343,Flipkart,Hat,user_221,Kidswear,1,"Top-notch quality, highly recommended.",Positive,0.2716,"Top-notch quality, highly recommended.","Top-notch, quality, highly, recommended"
2025-04-27 20:44:20.021343,Amazon India,Hat,user_304,Kidswear,4,Delivery was super fast and hassle-free.,Positive,0.5994,Delivery was super fast and hassle-free.,"Delivery, hassle-free, super, fast"
2025-05-18 00:44:20.021343,AJIO,Sunglasses,user_209,Footwear,2,Shiny finish looks cheap.,Neutral,0.0,Shiny finish looks cheap.,"Shiny, cheap, finish"
2025-05-01 06:44:20.021343,AJIO,T-Shirt,user_123,Kidswear,1,Fit is elegant and modern.,Positive,0.6808,Fit is elegant and modern.,"Fit, modern, elegant"
2025-05-01 05:44:20.021343,Amazon India,Jeans,user_449,Men's Casual,4,Fabric tore within two wears.,Neutral,0.0,Fabric tore within two wears.,"Fabric, wears, tore"
2025-04-28 14:44:20.021343,Myntra,Dress,user_54,Women's Ethnic,1,Great value for money!,Positive,0.7777,Great value for money!,"Great, money"
2025-05-25 08:44:20.021343,AJIO,Hat,user_495,Men's Casual,4,"Terrible stitching, fell apart quickly.",Negative,-0.4767,"Terrible stitching, fell apart quickly.","Terrible, stitching, fell, quickly"
2025-05-08 17:44:20.021343,Amazon India,Hat,user_196,Women's Ethnic,3,Cheap finish on sleeves.,Neutral,0.0,Cheap finish on sleeves.,"Cheap, sleeves, finish"
2025-05-03 22:44:20.021343,Myntra,Jacket,user_270,Men's Casual,3,Tight around the arms.,Neutral,0.0,Tight around the arms.,"Tight, arms"
2025-05-18 21:44:20.021343,AJIO,Watch,user_80,Footwear,4,"Delivery fast, but box was open.",Neutral,0.0,"Delivery fast, but box was open.","Delivery, fast, open, box"
2025-05-06 16:44:20.021343,Myntra,Sunglasses,user_440,Kidswear,4,Got stains on the product.,Neutral,0.0,Got stains on the product.,"product, stains"
2025-05-09 03:44:20.021343,Amazon India,Jacket,user_265,Accessories,2,"Looks classy, feels average.",Positive,0.4404,"Looks classy, feels average.","classy, feels, average"
2025-05-23 12:44:20.021343,AJIO,Dress,user_6,Accessories,4,"Battery backup is amazing, highly recommend.",Positive,0.7645,"Battery backup is amazing, highly recommend.","Battery, amazing, highly, recommend, backup"
2025-05-21 14:44:20.021343,Myntra,Watch,user_293,Accessories,4,Got stains on the product.,Neutral,0.0,Got stains on the product.,"product, stains"
2025-05-14 04:44:20.021343,Flipkart,Watch,user_278,Women's Ethnic,1,"Really fast delivery, thanks!",Positive,0.5355,"Really fast delivery, thanks!","delivery, fast"
2025-05-13 15:44:20.021343,Flipkart,Handbag,user_93,Women's Ethnic,3,Zip doesn't work properly.,Neutral,0.0,Zip doesn't work properly.,"Zip, properly, work"
